X_Index,X_Value
0,Claude\10.1002_advs.202207756_0
1,Claude\10.1002_advs.202207756_1
2,Claude\10.1002_advs.202207756_2
3,Claude\10.1002_advs.202207756_3
4,Claude\10.1002_advs.202207756_4
5,Claude\10.1021_acscatal.0c03999_0
6,Claude\10.1021_acscatal.0c03999_1
7,Claude\10.1021_acscatal.0c03999_2
8,Claude\10.1021_acscatal.0c03999_3
9,Claude\10.1021_acscatal.0c03999_4
10,Claude\10.1021_acscatal.0c03999_5
11,Claude\10.1021_acscatal.0c03999_6
12,Claude\10.1021_acscatal.0c03999_7
13,Claude\10.1021_acscatal.0c03999_8
14,Claude\10.1021_acscatal.0c03999_9
15,Claude\10.1021_acscatal.0c03999_10
16,Claude\10.1021_acscatal.0c03999_11
17,Claude\10.1021_acscatal.0c03999_12
18,Claude\10.1021_acscatal.0c03999_13
19,Claude\10.1021_acscatal.0c03999_14
20,Claude\10.1021_acscatal.1c00331_0
21,Claude\10.1021_acscatal.1c00331_1
22,Claude\10.1021_acscatal.1c00331_2
23,Claude\10.1021_acscatal.1c00331_3
24,Claude\10.1021_acscatal.1c00331_4
25,Claude\10.1021_acscatal.3c00103_0
26,Claude\10.1021_acscatal.3c00103_1
27,Claude\10.1021_acscatal.3c00103_2
28,Claude\10.1021_acscatal.3c00103_3
29,Claude\10.1021_acscatal.3c00103_4
30,Claude\10.1021_acscatal.3c00103_5
31,Claude\10.1021_acscatal.3c00728_0
32,Claude\10.1021_acscatal.3c00728_1
33,Claude\10.1021_acscatal.3c00728_2
34,Claude\10.1021_acscatal.3c00728_3
35,Claude\10.1021_acscatal.3c00728_4
36,Claude\10.1021_acscatal.3c00728_5
37,Claude\10.1021_acscatal.3c00816_0
38,Claude\10.1021_acscatal.3c00816_1
39,Claude\10.1021_acscatal.3c00816_2
40,Claude\10.1021_acscatal.3c00816_3
41,Claude\10.1021_acscatal.3c00816_4
42,Claude\10.1021_acscatal.3c00816_5
43,Claude\10.1021_acscatal.7b03228_0
44,Claude\10.1021_acscatal.7b03228_1
45,Claude\10.1021_cr300096b_0
46,Claude\10.1021_cr300096b_1
47,Claude\10.1021_cr300096b_2
48,Claude\10.1021_cr300096b_3
49,Claude\10.1021_cr300096b_4
50,Claude\10.1021_cr300096b_5
51,Claude\10.1021_cr300096b_6
52,Claude\10.1021_cr300096b_7
53,Claude\10.1021_cr300096b_8
54,Claude\10.1021_cr300096b_9
55,Claude\10.1021_cr300096b_10
56,Claude\10.1021_cr300096b_11
57,Claude\10.1021_cr300096b_12
58,Claude\10.1021_cr300096b_13
59,Claude\10.1021_cr300418s_0
60,Claude\10.1021_cr300418s_1
61,Claude\10.1021_cr300418s_2
62,Claude\10.1021_cr300418s_3
63,Claude\10.1021_cr300418s_4
64,Claude\10.1021_cr300418s_5
65,Claude\10.1021_cr300418s_6
66,Claude\10.1021_cr300418s_7
67,Claude\10.1021_cr300418s_8
68,Claude\10.1021_cr300418s_9
69,Claude\10.1021_cr300418s_10
70,Claude\10.1021_cr5002436_0
71,Claude\10.1021_cr5002436_1
72,Claude\10.1021_cr5002436_2
73,Claude\10.1021_cr5002436_3
74,Claude\10.1021_cr5002436_4
75,Claude\10.1021_cr5002436_5
76,Claude\10.1021_cr5002436_6
77,Claude\10.1021_cr5002436_7
78,Claude\10.1021_cr900122p_0
79,Claude\10.1021_cr900122p_1
80,Claude\10.1021_cr900122p_2
81,Claude\10.1021_cr900122p_3
82,Claude\10.1021_cr900122p_4
83,Claude\10.1021_cr900122p_5
84,Claude\10.1038_s41570-019-0128-9_0
85,Claude\10.1038_s41570-019-0128-9_1
86,Claude\10.1038_s41570-019-0128-9_2
87,Claude\10.1038_s41570-019-0128-9_3
88,Claude\10.1126_science.abh0424_0

Y_Index,Y_Value
0,Accuracy and Completeness of Citations
1,Accuracy of Information
2,Appropriateness of Professional Terminology Use
3,Avoidance of Plagiarism and Appropriate Citation
4,Clarity of Logical Structure
5,Clarity of Research Method Description
6,Comprehensiveness of Information
7,Conciseness of Expression
8,Critical Analysis of Existing Research
9,Feasibility of Proposed Suggestions
10,Fluency of Language Expression
11,Identification and Discussion of Research Limitations
12,Inclusion of Latest Research Results
13,Innovativeness of Viewpoints
14,Integration of Interdisciplinary Perspectives
15,Logic of Argumentation
16,Multi-angle Analysis of Problems
17,Potential Contribution to the Field
18,Practical Application Potential of Research Results
19,Proposal of New Research Directions or Questions
20,Quality of Introduction and Conclusion
21,Rationality of Method Selection
22,Reasonableness of Chapter Arrangement
23,Reflection of Current Research Hotspots
24,Rigor of Research Design
25,Timeliness and Relevance of References
26,Topic Relevance
